Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,Director,Assistant Director,Written by,Storyboard by,Guest Starring,Featuring,Also Appearing,Musical Numbers,Original Air Date,Product Code,U.S. Viewers (Millions),TV Rating,Running Time (Minutes),Aspect Ratio,Production Companies,IMDb Rating,Synopsys
2,7,14,The King Is Dead,Monte Young,None,Craig Hoffman,"Shawna Cha, Eric Fredrickson, Matt O'Callaghan, Mark Zoeller",None,"Peter Griffin, Lois Griffin","Brian, Stewie, Meg , Chris, Cleveland, Loretta, Quagmire, Joe Swanson, Tom Tucker, Diane Simmons, Robert Kimble, Mr. Weed, Guillermo, Tricia Takanawa, Judge, Dr. Hartman, Johnson, Bruce, Charlie, Li, Pablo, Flappy, Jake Tucker, Leonard Cornfeathers, Cleveland Brown, Jr., Randall Fargus, Johnny Muldoon, God, Albert Einstein, Ben Stiller, Sean Penn, William Shatner","A.N.N.A. Rules‎‎, If Ever I Would Leave You","March 28, 2000",1ACX15,6.91,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions",7.3,"Lois is appointed the director of Quahog's theatre company after the former director dies and attempts to produce The King and I. She appoints Peter as the producer to keep him out of her way, but his plans to recreate the play send him on a power trip that replaces her as the show's director."
2,8,15,"I Am Peter, Hear Me Roar",Monte Young,None,Chris Sheridan,"Ron Brewer, Oreste Canestrelli, Monte Young",Candice Bergen,"Peter Griffin, Lois Griffin, Gloria Ironbachs","Meg, Chris, Brian, Stewie, Quagmire, Cleveland, Loretta Brown, Joe, Bonnie, Mr. Weed, Miss Watson, Jesse Jackson, Sarah Bennett, Mr. Hanson, Lizzy, Jim Kaplan, Huck Griffin, N-Word Jim",None,"March 28, 2000",2ACX02,7.62,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8,"After telling a sexist joke at work, Peter is forced to go to a women's retreat camp and comes back a sensitive feminist. Lois and the others become greatly disturbed by his new attitude, and when his condition worsens, they do everything in their power to restore his manhood."
2,9,16,"If I'm Dyin', I'm Lyin'",Swinton Scott III,None,Chris Sheridan,"Ron Brewer, Don Sciore, Melissa Suber",Martin Mull,"Peter Griffin, Chris Griffin","Lois, Stewie, Brian, Meg, Tom Tucker, Diane Simmons, Steven C. Callaghan, Dirk Bandit, Rufus Griffin, God, Jeremy the Terminally ill Boy, Bryant Gumbel, Greg Gumbel, Craig T. Nelson, Scott Bakula, LL Cool J, Dennis Rodman, Fran Drescher, Whoopi Goldberg, Betty White, Suzanne Sommers, Charlie Sheen, Mr. McCloud, Steinberg, Little Johnny Gobraun, Mr. Harris, Florida Evans, James Evans, Sr., Pittsburgh Steelers",Dying Boy of Quahog,"April 4, 2000",1ACX12,6.24,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions",7.3,"When Peter and Chris' favorite TV show is cancelled, Peter pretends Chris is terminally ill and tells the ""Grant-A-Dream Foundation"" that his ""final wish"" is to get the show back on the air. When Chris does not die, however, Peter goes too far and declares himself to be a healer, starting his own religion."
2,10,17,Running Mates,John Holmquist,None,Garrett Donovan & Neil Goldman,"Ron Brewer, Don Sciore",None,"Peter Griffin, Lois Griffin","Stewie, Chris, Meg, Brian, Quagmire, Cleveland, Tom Tucker, Diane Simmons, Tricia Takanawa, Principal Sloan, Betsy LaBeau, Randall Fargus, James Carville, Fab Morvan, Fred Rogers, Lee Majors","I've Grown Accustomed To Her Face, Vagina Junction","April 11, 2000",1ACX09,6.3,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions",7.4,"Lois runs for President of the Quahog School Board, but Peter runs against her so he can save the job of his favorite teacher from his high school years, smearing Lois' image and winning by a landslide. But things take a turn for the worse when Chris is caught with pornography in school, so Peter must set all things right."
2,11,18,"A Picture is Worth 1,000 Bucks",Gavin Dell,"Stephen Sandoval, Brett Varon",Craig Hoffman,"Ron Brewer, Brandon Strathmann","Candice Bergen, Faith Ford, Charles Kimbrough","Peter Griffin, Chris Griffin, Antonio Monatti","Meg, Lois, Stewie, Brian, Joe Swanson, Bonnie Swanson, Kevin Swanson, Cleveland, Loretta Brown, Glenn Quagmire, Carter Banks, Stephen King, Neptune, Kathy Griffin, Satan, Bing Crosby, Robert Mapplethorpe, Walt Disney, Minnie Mouse, Murphy Brown, Corky Sherwood, Jim Dial, Frank Fontana, Kate Moss, Big Bird, Calvin Klein, George Washington, Bobby Williams, Bob Funland",Make Our Name Famous,"April 18, 2000",2ACX07,6.07,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2,"Peter begins to fear that his name will be forgotten, and strives to start a legacy of his own. When he sells a painting Chris gave him to an art gallery, Peter discovers that he can use Chris' talents to fulfill this dream, taking the family to New York to see Chris become famous."
2,12,19,Fifteen Minutes of Shame,Scott Wood,Kurt Dumas,Steve Callaghan,"Kurt Dumas, Scott Wood",None,Meg Griffin,"Peter, Lois, Stewie, Chris, Brian, Mayor Adam West, Joe Swanson, Bonnie Swanson, Kevin Swanson, Diane Simmons, Cleveland, Loretta, Quagmire, Miles ""Chatterbox"" Musket, The Magical Clam, Ronald McDonald, Lisa McDonald, God, Guillermo, Soccer Mom, Jim Kaplan, Beth, Chet Brown, Wilshard Watkins, Other Meg, Tom Arnold, Fran Drescher, Philip Seymour Hoffman, Mary-Kate Olsen, Ashley Olsen, Bob Ross, Michael J. Fox, Meredith Baxter, Michael Gross, Tina Yothers, Justine Bateman",None,"April 25, 2000",2ACX08,6.62,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.5,"After being embarrassed by her family during her slumber party, Meg brings them on a daytime talk show out of revenge, where a TV producer turns the Griffins' dysfunctional life into a reality show titled ""The Real Life Griffins"". Things go awry and Meg abandons everyone; as a result, an actress is brought in to play Meg on ""The Real Life Griffins"", and soon Meg finds that the rest of the family have been replaced by celebrity actors Tom Arnold, Fran Drescher, Philip Seymour Hoffman, and Mary-Kate and Ashley Olsen."
2,13,20,Road to Rhode Island,Dan Povenmire,"Sarah Frost, Jeff Stewart",Gary Janetti,Aldin Baroza,Brian Doyle-Murray,"Brian, Stewie","Dr. Amanda Rebecca, Peter, Lois, Chris, Meg, Barbara Pewterschmidt, Carter Pewterschmidt, Luke, Betty, Dr. Bruce Kaplan, Osama bin Laden (removed after the original broadcast)","On the Good Ship Lollipop (removed after the original broadcast), I Hope I Get It (removed after the original broadcast), Road to Rhode Island","May 30, 2000",2ACX12,6.47,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.1,"Brian volunteers to bring Stewie home from his grandparents' house in California, but the two miss their plane and must travel on foot for a cross-country journey back home. Meanwhile, Peter becomes addicted to watching a collection of marriage counseling videos hosted by a porn star."
2,14,21,Let's Go to the Hop,Glen Hill,"Bob Foster, Kuni Tomita",Mike Barker & Matt Weitzman,"Won Ki Cho, Shawna Cha",Gregg Allman,"Peter Griffin, Meg Griffin","Chris, Brian, Lois, Stewie, Carter Pewterschmidt, Barbara Pewterschmidt, Tom Tucker, Diane Simmons, Connie DiMico, Gina, Neil Goldman, Doug, Principal Shepherd, Mr. Berler, Phoebe Diamond, U.S. Supreme Court, Toad Girl, Tony the Tiger, Toucan Sam, Cap’n Crunch, Lucky the Leprechaun, Trix Rabbit, Spider-Man",Gotta Give Up the Toad,"June 6, 2000",2ACX04,5.7,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.8,"Peter goes undercover as a high school student named ""Lando Griffin"" to kick youths off the habit of toad licking, making him extremely popular in Meg's school. Meg asks her dad out to the upcoming school dance in the hopes of becoming popular herself, but Peter chooses to go out with popular Connie D'Amico instead."
2,15,22,Dammit Janet,Bert Ring,Eric Fredrickson,Mike Barker & Matt Weitzman,"Shavonne Cherry, Joe Denton, Art Mawhinney, Paul Young",None,"Stewie Griffin, Janet, Lois Griffin, Peter Griffin","Chris, Meg, Evil Monkey, Brian, Cleveland, Quagmire, Rupert, Brad, Leonard, Tom Tucker, Diane Simmons, Melinda, The Cat in the Hat, Tinker Bell, Kurt Cobain, Courtney Love, Nikita Khrushchev, Kim Richards, Mr. and Mrs. Kravitz",You Make Me Feel So Young,"June 13, 2000",2ACX09,7.34,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.4,"Stewie is sent off to daycare to learn social skills where he falls in love with a girl named Janet. Meanwhile, Lois begins wishing that her life were more exciting, so she gets a job as a flight attendant at Peter's request, who exploits Lois' job position as a means to get free travel for himself."
2,16,23,There's Something About Paulie,Monte Young,None,Ricky Blitt,"Shawna Cha, John Dubiel, Mark Zoeller",Michael Chiklis,"Peter Griffin, Lois Griffin, Big Fat Paulie","Brian, Stewie, Meg, Chris, Cleveland, Bonnie Swanson, Jim Kaplan, Reginald B. Stifworth, Jeremy, Shelley Boothbishop, Dharma, Greg, Alex Rieger, Tony Banta, Louie DePalma, Elaine Nardo, Mary Hart's legs, Bob Goen, Louie Anderson, Jackie Chan, David Schwimmer, Angela Bassett, Whoopi Goldberg",Rhinestone Cowboy,"June 27, 2000",1ACX10,6.88,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.9,"Peter befriends a mob boss's nephew, Big Fat Paulie, while paying off a debt. But when he says that Lois does not want them to hang out anymore, Paulie misinterprets the situation and thinks that Peter wants him to kill her so they can still be friends. When Peter explains this to Paulie, he agrees to call off the hit, but he is suddenly gunned down by rival mobsters before he can place the phone call. As such, Peter must find a way to call off the hit."
2,17,24,He's Too Sexy for His Fat,Glen Hill,"Bob Foster, Kuni Tomita",Chris Sheridan,"Joe Denton, Susan Crossley, Eric Fredrickson, Stephen Sandoval, Jeff Stewart",Jay Mohr,"Chris, Peter","Lois, Stewie, Meg, Brian, Warren Fredericks, Dr. Ling, Logan, Phineas & Barnaby, Cleveland, Broderick Brown, Jabba the Griffin, Jennifer Love Hewitt, James Caan, Old Yeller, Fidel Castro, Nelson Mandela, Boris Yeltsin",None,"June 27, 2000",2ACX10,6.56,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.7,"Chris becomes insecure about his weight and goes on a diet, but Peter opts for plastic surgery and ends up getting it himself. Now thin and handsome, Peter becomes swayed by the special treatment he receives from people he comes across, while Lois, in spite of her morals, finds that she can not resist him. Meanwhile, Stewie starts overeating to taunt Chris, but ends up becoming obese."
