RPTID	OPID	NAME	INTER	IDATE	DTHH	ACSTATE	ACCOUNTY	ACCITY	OFFSHORE	COOR	IFED	SPLOC	CSYS	ORGLK	ORGLO	ITMYR	CAUS	CAUSO	TFAT	EFAT	NFAT	TINJ	EINJ	NINJ	PRPTY	COMM	COMID	CLASS	LOSS	RECOV	FIRE	EXP	NMDIA	THK	SMYS	JNT	GRND	DSPRS	ACPRS	PRTST	DUR	MXPRS	TSTMM	TSTYY	CORLC	FACTD	FACAT	CORR	CORRO	CAULK	CAULO	PREVT	ONECL	ONEOT	EXCAL	TMPMK	RNAME	PHONE	TELRN	TELID	DOR	NARRATIVE
19850152	11169	LAKEHEAD PIPE LINE CO INC	Yes	19851014	1057	MI	 	MARYSVILLE	No	 	No	"SE 1/4 OF SECTION 30, TWP 6 NORTH, RANGE 17 EAST, ST. CLAIR CO., MICHIGAN"	LINE PIPE	PIPE	 	1969	CORROSION	"CORROSION, EXTERNAL"	0	0	0	0	0	0	900000	CRUDE OIL	1311110	1	10	3	No	No	30	0.25	52000	WELDED	BELOW GROUND	624	185	Yes	24	795	11	69	EXTERNAL	Yes	Yes	GALVANIC	 	NO DATA	 	Null	NO DATA	 	Null	Null	"W. C. COCHRANE, PRESIDENT & GENERAL MANAGER"	7153925631	 	        		"THIS LEAK WAS REPORTED AT APPROXIMATELY 11:00 MST OCTOBER 14, 1985.  LINE WAS EXCAVATED AND LEAK WAS DETERMINED TO BE CAUSED BY EXTERNAL CORROSION.  APPROXIMATELY 10 BARRELS OF CRUDE OIL ESCAPED FROM THE LINE AND WAS CONFINED TO THE IMMEDIATE AREA.  A 30"" PLIDCO REPAIR SLEEVE WAS USED TO REPAIR THE"
19850153	22442	WEST TEXAS GULF PIPELINE CO	Yes	19851029	1400	TX	EASTLAND	 	No	 	No	"APPROX 8 MI N, NE OF CISCO, TX AND 2 1/4 MI E OF TX HWY 6, SPRR CO SURVEY - SEC 484, EASTLAND COUNTY, TX"	LINE PIPE	PIPE	 	1952	OTHER	DAMAGE BY OTHERS	0	0	0	0	0	0	3500	CRUDE OIL	1311110	3	50	0	No	No	26	0.31	400	WELDED	BELOW GROUND	750	400	No	0	0	0	0	NO DATA	Null	Null	NO DATA	 	DAMAGE BY OTHERS	 	Yes	ONE CALL	 	No	No	R L DOWNIE - PRES	9156977567	 	        		
19850154	1845	BUCKEYE PIPELINE CO LP	Yes	19851028	1000	OH	LUCAS	 	No	 	No	 	PUMPING STATION	PIPE	 	1940	INCORRECT OPERATION BY OPERATOR PERSONNEL	 	0	0	0	0	0	0	400000	FUEL OIL	2911715	1	100	60	No	No	0	0	0	NO DATA	NO DATA	0	50	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"JAMES J. KELLY, ENVIRONMENTAL CONTROL & SAFETY"	2158208300	 	        		"DELIVERYMAN OPENED ACTIVE STREAM INTO AN IDEL 8"" PIPELINE.LINE WAS EMPTY AND PURGED.  LINE WAS CUT OFF AT GROUND LEVEL AND PLUGGED WITH CEMENT.  WHEN LINE FILLED AND PRESSURED, CEMENT PLUG BLEW OUT AND PRODUCT WAS RELEASED."
19850155	12555	MINNESOTA PIPELINE CO	Yes	19851107	1235	MN	ANOKA	BURNS	No	 	No	"SE 1/4 SECTION 32, TOWNSHIP 33 NORTH RANGE 24 WEST ANOKA COUNTY, MINNESOTA"	LINE PIPE	PIPE	 	1954	OUTSIDE FORCE DAMAGE	DAMAGE BY OPERATOR OR ITS CONTRACTOR	0	0	0	0	0	0	0	CRUDE OIL	1311110	1	5980	4950	No	No	16	0.28	52000	WELDED	BELOW GROUND	1250	325	Yes	24	1560	1	54	NO DATA	Null	Null	NO DATA	 	DAMAGE BY OPERATOR OR ITS CONTRACTOR	 	Yes	NO DATA	PHYSICAL LOCATION	Yes	Yes	"HARRY WEED, VICE PRESIDENT AND MANAGER"	6124592424	 	        		COMPANY'S CONTRACTOR WAS DOING FINAL CLEAN UP AFTER CONSTRUCTION OF A NEW PARALLEL LINE TO COMPANY'S EXISTING PIPELINE.  DOZER OPERATOR WASREBUILDING A STREET AND HIT PIPELINE WITH BLADE.
19850156	809	ARCO PIPE LINE CO	No	19851019	1100	OK	SEMINOLE	WOLF	No	 	No	"1 MILE WEST AND 1 1/4 NORTH OF WOLF, OKLAHOMA, 1760 NORTH OF SOUTH SECTION LINE IN SE/4 - SEC 5 T7N-R6E"	LINE PIPE	PIPE	 	1928	CORROSION	"CORROSION, INTERNAL"	0	0	0	0	0	0	600	CRUDE OIL	1311110	1	60	20	No	No	8	0.32	35000	WELDED	BELOW GROUND	425	150	No	0	0	0	0	INTERNAL	No	No	GALVANIC	 	NO DATA	 	Null	NO DATA	 	Null	Null	"NORMAN R. BENNETT, MANAGER"	3163311300	 	        		INTERNAL CORROSION PIT CAUSED DISCHARGE OF PRODUCT.
19850157	7710	HYDROCARBON TRANSPORTATION INC	Yes	19851109	800	NE	OTOE	 	No	 	No	"SW 1/4 SECTION 11, TWP. 7 NORTH, RANGE 10 EAST, OTOE COUNTY, NEBRASKA"	PUMPING STATION	VALVE	 	1982	MALFUNCTION OF CONTROL OR RELIEF EQUIPMENT	 	0	0	0	0	0	0	250	NATURAL GAS LIQUID	4908176	3	25	11	No	No	0	0	0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"J. C. SMITH, VICE PRESIDENT OF OPERATIONS"	4026334209	 	        		"AT APPROXIMATELY 0810 HOURS, A FARMER LIVING NEAR THE UNADILLA, NEBRASKA PUMP STATION TELEPHONED TO INFORM US THAT A WHITE FOG AS BEING DISCHARGED FROM THE VENT STACK.  THE CONTROL CENTER WAS NOTIFIED THAT A WHITE CLOUDWAS BLOWING ACROSS THE ROAD.  THE CONTROL CENTER IMMEDIATELY BEGAN SHUTTING DOWN THE PIPELINES AND NOTIFYING THE RESPONSIBLE PERSONNEL.THE PUMP STATION TECHNICIAN ARRIVED AT THE PUMP STATION AT 0820 HOURS AND FOUND THAT THE RELIEF VALVE ON THE DISCHARGE PIPE OF A PUMP UNIT HAD MALFUNCTIONED.  THE RELIEF VALVE WAS CHANGED OUT AND THE UNIT AND PIPELINES RESTARTED."
19850158	6856	GULF CENTRAL PIPELINE CO	Yes	19851028	1345	IA	LEE	FT. MADISON	No	 	No	"GULF CENTRAL'S METERING FACILITIES LOCATED INSIDE THE CHEVRON CHEMICAL PLANT IN THE WESTERN HALF OF SE 1/4 SECTION 14 T67N R5W OF LEE COUNTY, FT. MADISON, IA."	NO DATA	NO DATA	THREADED FITTING	1980	OTHER	EXCESSIVE FORCE	0	0	0	1	1	0	0	ANHYDROUS AMMONIA	2819815	3	2	0	No	No	0	0	0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"IRVIN TOOKE, JR., VICE PRESIDENT"	9185852631	 	        		THE AMMONIA RELEASE WAS CAUSED BY EXCESSIVE FORCE APPLIED BY COMPANY EMPLOYEE ON FITTING WHILE HE WAS IN THE PROCESS OF INSTALLING A NEW PRESSURE GAUGE ON THE METER PROVER VESSEL.
19850159	2745	CONTINENTAL PIPELINE CO	No	19851101	930	OK	CLEVELAND	NORMAN	No	 	No	"SW 1/4 OF SECTION 23-T9N-R3W, CLEVELAND COUNTY, OKLAHOMA, OR APPROXIMATELY INTERSTATE 35 AND ROBINSON STREET."	LINE PIPE	PIPE	 	1954	OUTSIDE FORCE DAMAGE	DAMAGE BY OTHERS	0	0	0	0	0	0	6000	CRUDE OIL	1311110	1	1451	1400	No	No	12	0.25	46000	WELDED	BELOW GROUND	1300	600	No	0	0	0	0	NO DATA	Yes	Yes	NO DATA	 	DAMAGE BY OTHERS	 	Yes	ONE CALL	LINE MARKED	No	Yes	"MIKE RINEHART, OPERATIONS ANALYST"	4057672141	 	        		"HOWE CONSTRUCTION COMPANY WAS PREPARING THIS LOCATION FOR AFUTURE SUBDIVISION.  A CPL SUPERVISOR SPOTTED AND FLAGGED THIS AREA THE WEEK OFOCTOBER 28, 1985.  AERIAL AND PIPELINE MARKERS ARE LOCATED ON THE NORTH AND SOUTH ENDS OF THE PROPERTY.  HOWE CONSTRUCTION WAS TOLD NOT TO DO ANY WORK OVER OURLINE WITHOUT NOTIFYING CPL BEFORE HAND.  HOWE CONSTRUCTION STARTED WORKING OVEROUR LINE ON MONDAY MORNING WITH TWO EARTH SCRAPERS, BULLDOZER AND A ROAD GRADER.  APPROXIMATELY TWO FEET OF DIRT COVER HAVE BEEN REMOVED WHEN ONE OF THE SCRAPERS RUPTURED OUR LINE."
19850160	12628	MOBIL PIPELINE CO	Null	19851017	1220	KS	SEDGWICK	VALLEY CENTER	No	 	No	ONE MILE SOUTH OF THE CITY OF VALLEY CENTER.	PUMPING STATION	NO DATA	STRAINER	1942	OTHER	FAILURE OF VICTAULIC	0	0	0	0	0	0	700	CRUDE OIL	1311110	1	145	138	No	No	0	0	0	NO DATA	NO DATA	0	0	Null	0	0	0	0	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"J. C. DURBIN, VICE PRESIDENT"	2146582400	 	        		FAILURE OF GASKET IN THE VICTAULIC COUPLING HOLDING LID OF STRAINER IN DELIVERY METER STATION DUE TO AN INCREASE IN PRESSURE WHEN THE CONTROL VALVE DESIGNED TO FAIL CLOSED WAS ACTIVATED BY THE POWER COMPANY'S SHUTOFF OFTHE ELECTRICAL SUPPLY.  THE FLOW CONTROL VALVE WAS CHANGED TO FAIL IN THE OPEN POSITION TO PREVENT A SIMILAR OCCURRENCE.
19850161	12628	MOBIL PIPELINE CO	Yes	19851104	1600	KS	HARVEY	 	No	 	No	SE 1/4 SEC. 3-23S-1W IN HARVEY COUNTY.	LINE PIPE	PIPE	 	1931	CORROSION	"CORROSION, INTERNAL"	0	0	0	0	0	0	4100	CRUDE OIL	1311110	1	640	610	No	No	7	0.19	30000	WELDED	BELOW GROUND	340	40	Yes	3	500	3	70	INTERNAL	No	Yes	NO DATA	INTERNAL	NO DATA	 	Null	NO DATA	 	Null	Null	"D. L. DENNARD, VICE PRESIDENT"	2146582226	 	        		"INTERNAL CORROSION PENETRATED THE PIPE WALL RESULTING IN THE CRUDE OIL SPILL.  THE LEAK WAS IMMEDIATELY CLAMPED AFTER RECEIVING THE REPORT OF THE SPILL, CONTAINED AND RECOVERED.  APPROXIMATELY 27 FEET OF PIPE WAS REPLACE"
19850162	12452	MID - AMERICA PIPELINE CO (MAPCO)	Yes	19851106	1600	IA	CLINTON	LOW MOOR	No	 	Yes	"TOWNSHIP 81 NORTH, RANGE 6 EAST, SECTION 30 100 FT. SOUTH OF CHICAGO NORTHWESTERN RAILROAD."	NO DATA	VALVE	 	1973	OTHER	"1"" VALVE UNSCREWED"	0	0	0	1	1	0	15840	L. P. G.	4905711		1980	0	No	No	10	0.37	2850	WELDED	ABOVE GROUND	1310	590	Yes	24	1813	11	73	NO DATA	Null	Null	NO DATA	 	NO DATA	 	Null	NO DATA	 	Null	Null	"S. F. ISAACS, PRESIDENT"	9185811800	 	        		"MAINTENANCE CREW WAS IN PROCESS OF BLOWING DOWN A PIG TRAP TO RID TRAP OF DIRT BEING PUSHED BY PIGS.  A 1"" (ONE -INCH) BLOW-DOWN VALVE WAS PLUGGED WITH DIRT.  WHILE EMPLOYEE WAS ATTEMPTING TO UNPLUG THE VALVE, IT UNSCREWED, RELEASING A 1"" STREAM OF ETHANE-PROPANE MIX TO THE ATMOSPHERE."
19850163	22610	WILLIAMS PIPELINE CO	Yes	19851021	745	IA	WOODBURY	SIOUX	No	 	No	 	LINE PIPE	PIPE	 	1967	OUTSIDE FORCE DAMAGE	DAMAGE BY OTHERS	0	0	0	0	0	0	1000	GASOLINE	2911135	3	531	236	No	No	6	0.16	1978	WELDED	BELOW GROUND	1400	300	Yes	24	1750	1	67	NO DATA	Null	Null	NO DATA	 	DAMAGE BY OTHERS	 	Null	NO DATA	 	Null	Null	"S. L. CROPPER, VICE PRESIDENT"	9185883248	 	        		"CONTRACTOR REMOVING EARTH FROM OVER PIPELINE AND STRUCK LINE WITH HIGHLOADER WHICH PUNCTURED PIPE.  THE PIPELINE WAS 48"" DEEP PRIOR TO EARTH REMOVAL.  INCIDENT OCCURED ABOUT 100 YDS. FROM ROAD WHERE LINE MARKERS WERE VISIBLE."
