Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2015,KS,Kansas,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,1274,3.8,3.6,4.0,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,20,BO1,CAT1,CVDCRHD4,RESP046,"(38.3477403, -98.200781227)"
2015,KY,Kentucky,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,712,6.0,5.3,6.7,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,21,BO1,CAT1,CVDCRHD4,RESP046,"(37.645970271, -84.774971048)"
2015,LA,Louisiana,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,362,5.3,4.6,6.0,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,22,BO1,CAT1,CVDCRHD4,RESP046,"(31.312660644, -92.445680071)"
2015,ME,Maine,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,563,5.3,4.6,5.9,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,23,BO1,CAT1,CVDCRHD4,RESP046,"(45.254228894001, -68.985031336)"
2015,MD,Maryland,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,765,3.8,3.2,4.3,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,24,BO1,CAT1,CVDCRHD4,RESP046,"(39.290580964, -76.609260111)"
2015,MA,Massachusetts,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,443,3.9,3.4,4.4,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,25,BO1,CAT1,CVDCRHD4,RESP046,"(42.27687047, -72.082690675)"
2015,MI,Michigan,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,522,4.6,4.1,5.1,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,26,BO1,CAT1,CVDCRHD4,RESP046,"(44.661319543001, -84.71439027)"
2015,MN,Minnesota,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,749,3.3,3.0,3.6,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,27,BO1,CAT1,CVDCRHD4,RESP046,"(46.355648736, -94.794200503)"
2015,MS,Mississippi,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,416,4.9,4.2,5.6,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,28,BO1,CAT1,CVDCRHD4,RESP046,"(32.745510099, -89.538030825)"
2015,MO,Missouri,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,491,4.8,4.2,5.4,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,29,BO1,CAT1,CVDCRHD4,RESP046,"(38.635790776, -92.566300053)"
2015,MT,Montana,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,297,3.2,2.7,3.6,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,30,BO1,CAT1,CVDCRHD4,RESP046,"(47.066528972, -109.424420645)"
2015,NE,Nebraska,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,968,4.0,3.6,4.3,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,31,BO1,CAT1,CVDCRHD4,RESP046,"(41.641040988001, -99.365720623)"
2015,NV,Nevada,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,154,3.9,2.9,4.9,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,32,BO1,CAT1,CVDCRHD4,RESP046,"(39.49324039, -117.071840564)"
2015,NH,New Hampshire,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,439,3.9,3.4,4.3,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,33,BO1,CAT1,CVDCRHD4,RESP046,"(43.655950113, -71.50036092)"
2015,NJ,New Jersey,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,568,3.7,3.2,4.1,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,34,BO1,CAT1,CVDCRHD4,RESP046,"(40.130570048, -74.273691288)"
2015,NM,New Mexico,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,350,3.6,3.0,4.2,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,35,BO1,CAT1,CVDCRHD4,RESP046,"(34.520880952, -106.240580985)"
2015,NY,New York,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,654,3.8,3.4,4.2,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,36,BO1,CAT1,CVDCRHD4,RESP046,"(42.827001032, -75.543970427)"
2015,NC,North Carolina,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,404,4.7,4.2,5.3,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,37,BO1,CAT1,CVDCRHD4,RESP046,"(35.466220975, -79.159250463)"
2015,ND,North Dakota,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,265,3.6,3.0,4.2,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,38,BO1,CAT1,CVDCRHD4,RESP046,"(47.475319779, -100.118421049)"
2015,OH,Ohio,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,823,4.2,3.7,4.6,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,39,BO1,CAT1,CVDCRHD4,RESP046,"(40.060210141, -82.404260056)"
2015,OK,Oklahoma,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,526,5.1,4.5,5.8,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,40,BO1,CAT1,CVDCRHD4,RESP046,"(35.472031356, -97.521070214)"
2015,OR,Oregon,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,275,3.9,3.3,4.5,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,41,BO1,CAT1,CVDCRHD4,RESP046,"(44.567449424, -120.155031326)"
2015,PA,Pennsylvania,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,317,4.7,4.0,5.4,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,42,BO1,CAT1,CVDCRHD4,RESP046,"(40.793730152, -77.860700294)"
2015,PR,Puerto Rico,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,461,7.1,6.4,7.9,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,72,BO1,CAT1,CVDCRHD4,RESP046,"(18.220833, -66.590149)"
2015,RI,Rhode Island,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,353,3.9,3.3,4.5,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,44,BO1,CAT1,CVDCRHD4,RESP046,"(41.708280193, -71.522470314)"
2015,SC,South Carolina,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,747,4.3,3.9,4.8,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,45,BO1,CAT1,CVDCRHD4,RESP046,"(33.998821303, -81.045371207)"
2015,SD,South Dakota,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,468,4.8,4.0,5.5,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,46,BO1,CAT1,CVDCRHD4,RESP046,"(44.353130053, -100.373530637)"
2015,TN,Tennessee,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,442,4.9,4.3,5.5,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,47,BO1,CAT1,CVDCRHD4,RESP046,"(35.68094058, -85.774490914)"
2015,TX,Texas,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,906,3.4,3.0,3.9,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,48,BO1,CAT1,CVDCRHD4,RESP046,"(31.827240407, -99.426770206)"
2015,UT,Utah,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,380,2.3,2.0,2.6,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,49,BO1,CAT1,CVDCRHD4,RESP046,"(39.360700171, -111.587130635)"
2015,VT,Vermont,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,318,4.3,3.7,4.9,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,50,BO1,CAT1,CVDCRHD4,RESP046,"(43.625381239, -72.517640791)"
2015,VA,Virginia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,408,3.4,3.0,3.8,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,51,BO1,CAT1,CVDCRHD4,RESP046,"(37.542680674, -78.457890463)"
2015,WA,Washington,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,867,3.6,3.2,3.9,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,53,BO1,CAT1,CVDCRHD4,RESP046,"(47.522278629, -120.47001079)"
2015,WV,West Virginia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,512,7.4,6.7,8.2,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,54,BO1,CAT1,CVDCRHD4,RESP046,"(38.665510202, -80.712640135)"
2015,WI,Wisconsin,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,344,4.0,3.4,4.6,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,55,BO1,CAT1,CVDCRHD4,RESP046,"(44.393191174, -89.816370742)"
2015,WY,Wyoming,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,338,3.4,2.8,4.0,1,%,Crude Prevalence,,,BRFSS,CLASS03,TOPIC10,56,BO1,CAT1,CVDCRHD4,RESP046,"(43.235541343, -108.109830353)"
2014,AK,Alaska,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,156,2.4,1.9,2.9,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,02,BO1,CAT1,CVDCRHD4,RESP046,"(64.845079957001, -147.722059036)"
2014,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,678,5.6,5.0,6.1,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,01,BO1,CAT1,CVDCRHD4,RESP046,"(32.840571122, -86.631860762)"
2014,AR,Arkansas,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,525,6.2,5.4,7.0,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,05,BO1,CAT1,CVDCRHD4,RESP046,"(34.748650124, -92.274490743)"
2014,AZ,Arizona,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,1022,4.0,3.7,4.4,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,04,BO1,CAT1,CVDCRHD4,RESP046,"(34.86597028, -111.763811277)"
2014,CA,California,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,406,3.7,3.3,4.2,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,06,BO1,CAT1,CVDCRHD4,RESP046,"(37.638640123, -120.999999538)"
2014,CO,Colorado,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,592,3.0,2.7,3.4,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,08,BO1,CAT1,CVDCRHD4,RESP046,"(38.843840757, -106.133610921)"
2014,CT,Connecticut,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,410,3.7,3.2,4.2,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,09,BO1,CAT1,CVDCRHD4,RESP046,"(41.56266102, -72.649840952)"
2014,DC,District of Columbia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,182,2.4,1.9,2.9,566,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,11,BO1,CAT1,CVDCRHD4,RESP046,"(38.890371385, -77.031961127)"
2014,DE,Delaware,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,296,4.8,4.0,5.5,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,10,BO1,CAT1,CVDCRHD4,RESP046,"(39.008830667, -75.577741168)"
2014,FL,Florida,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,755,5.4,4.8,5.9,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,12,BO1,CAT1,CVDCRHD4,RESP046,"(28.932040377, -81.928960539)"
2014,GA,Georgia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,403,4.1,3.6,4.7,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,13,BO1,CAT1,CVDCRHD4,RESP046,"(32.839681093, -83.627580346)"
2014,GU,Guam,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,94,2.9,2.2,3.6,569,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,66,BO1,CAT1,CVDCRHD4,RESP046,"(13.444304, 144.793731)"
2014,HI,Hawaii,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,287,3.4,2.8,4.0,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,15,BO1,CAT1,CVDCRHD4,RESP046,"(21.304850435, -157.857749403)"
2014,IA,Iowa,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,454,4.1,3.7,4.6,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,19,BO1,CAT1,CVDCRHD4,RESP046,"(42.469400913, -93.816490556)"
2014,ID,Idaho,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,299,3.4,2.8,3.9,571,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,16,BO1,CAT1,CVDCRHD4,RESP046,"(43.682630005, -114.363730042)"
2014,IL,Illinois,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,277,3.6,3.0,4.1,571,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,17,BO1,CAT1,CVDCRHD4,RESP046,"(40.485010283, -88.997710178)"
2014,IN,Indiana,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,766,4.6,4.1,5.0,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,18,BO1,CAT1,CVDCRHD4,RESP046,"(39.766910452, -86.149960194)"
2014,KS,Kansas,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,789,4.2,3.9,4.6,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,20,BO1,CAT1,CVDCRHD4,RESP046,"(38.3477403, -98.200781227)"
2014,KY,Kentucky,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,966,6.0,5.4,6.6,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,21,BO1,CAT1,CVDCRHD4,RESP046,"(37.645970271, -84.774971048)"
2014,LA,Louisiana,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,563,6.2,5.5,6.8,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,22,BO1,CAT1,CVDCRHD4,RESP046,"(31.312660644, -92.445680071)"
2014,MA,Massachusetts,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,974,4.3,3.8,4.8,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,25,BO1,CAT1,CVDCRHD4,RESP046,"(42.27687047, -72.082690675)"
2014,MD,Maryland,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,761,3.2,2.9,3.6,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,24,BO1,CAT1,CVDCRHD4,RESP046,"(39.290580964, -76.609260111)"
2014,ME,Maine,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,630,5.4,4.8,5.9,569,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,23,BO1,CAT1,CVDCRHD4,RESP046,"(45.254228894001, -68.985031336)"
2014,MI,Michigan,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,605,5.4,4.8,5.9,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,26,BO1,CAT1,CVDCRHD4,RESP046,"(44.661319543001, -84.71439027)"
2014,MN,Minnesota,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,740,3.5,3.2,3.8,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,27,BO1,CAT1,CVDCRHD4,RESP046,"(46.355648736, -94.794200503)"
2014,MO,Missouri,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,516,4.8,4.1,5.4,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,29,BO1,CAT1,CVDCRHD4,RESP046,"(38.635790776, -92.566300053)"
2014,MS,Mississippi,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,284,4.7,4.0,5.5,571,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,28,BO1,CAT1,CVDCRHD4,RESP046,"(32.745510099, -89.538030825)"
2014,MT,Montana,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,391,3.6,3.1,4.1,570,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,30,BO1,CAT1,CVDCRHD4,RESP046,"(47.066528972, -109.424420645)"
2014,NC,North Carolina,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,492,5.0,4.4,5.5,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,37,BO1,CAT1,CVDCRHD4,RESP046,"(35.466220975, -79.159250463)"
2014,ND,North Dakota,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,482,4.1,3.5,4.6,568,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,38,BO1,CAT1,CVDCRHD4,RESP046,"(47.475319779, -100.118421049)"
2014,NE,Nebraska,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,1258,3.9,3.6,4.3,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,31,BO1,CAT1,CVDCRHD4,RESP046,"(41.641040988001, -99.365720623)"
2014,NH,New Hampshire,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,364,4.2,3.6,4.8,571,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,33,BO1,CAT1,CVDCRHD4,RESP046,"(43.655950113, -71.50036092)"
2014,NJ,New Jersey,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,725,4.4,3.9,4.9,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,34,BO1,CAT1,CVDCRHD4,RESP046,"(40.130570048, -74.273691288)"
2014,NM,New Mexico,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,472,3.9,3.3,4.5,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,35,BO1,CAT1,CVDCRHD4,RESP046,"(34.520880952, -106.240580985)"
