X,Y,OBJECTID,DISTRICT,ROUTE,ROUTE_SFX,COUNTY,PM_PFX,PM,PM_SFX,LOCATION_DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT
-13615849.0187,4978892.811,16,2,5,,SHA,R,29.285,L,TURNTABLE BAY UNDERCROSS,1200.0,12600.0,10400.0,1200.0,12600.0,10400.0
-13616881.2908,4983935.0338,17,2,5,,SHA,R,32.04,L,O'BRIEN,1200.0,12600.0,10400.0,1200.0,12800.0,10100.0
-13644563.0991,5139749.5936,18,2,5,,SIS,R,58.326,L,"JCT. RTE. 96 WEST, KLAMATH RIVER ROAD , COLLIER SAFETY ROADSIDE REST AREA",940.0,8700.0,7400.0,940.0,8700.0,7400.0
-13646927.1999,5154188.0803,19,2,5,,SIS,R,65.524,L,BAILEY HILL ROAD  LT,810.0,9600.0,8200.0,810.0,9600.0,8200.0
-12953301.2651,3856322.0761,20,11,8,,SD,R,61.183,L,CRESTWOOD ROAD UC- LEFT,2450.0,19100.0,17500.0,2450.0,21100.0,18600.0
-12924839.084,3848324.865,21,11,8,,SD,R,77.77,L,SAN DIEGO/IMPERIAL COUNTY LINE,870.0,8900.0,8300.0,,,
-12924114.2744,3852722.0684,22,11,8,,IMP,R,3.048,L,MOUNTAIN SPRINGS ROAD LEFT,1100.0,11100.0,10300.0,1100.0,11100.0,10300.0
-13613920.8046,4558113.6296,23,4,13,,ALA,,13.738,L,BEGIN INDEP LEFT ALIGN,4550.0,45500.0,43500.0,2300.0,26000.0,21800.0
-13614207.0946,4557857.7626,24,4,13,,ALA,,13.931,L,"BERKELEY, JCT. RTE. 80",2600.0,26000.0,21800.0,,,
-13037935.4231,3854619.7451,25,11,15,,SD,R,0.0,L,JCT. RTE. 5,,,,9600.0,112000.0,102000.0
-13563719.9321,4825327.5211,26,3,32,,BUT,R,8.905,L,"CHICO, ON EIGHTH STREET AT WALNUT STREET",1050.0,13100.0,12000.0,1250.0,14700.0,13200.0
-13563513.8856,4825508.4167,27,3,32,,BUT,R,9.038,L,"CHICO, ON EIGHTH STREET AT ORANGE STREET",1250.0,14700.0,13200.0,940.0,13100.0,12100.0
-13562683.5142,4826237.6352,28,3,32,,BUT,,9.081,L,"CHICO, ON 8TH ST AT MAIN ST",940.0,13100.0,12100.0,2600.0,34500.0,30300.0
-13563306.509,4825692.5484,29,3,32,,BUT,R,9.171,L,"CHICO, ON EIGHTH STREET AT IVY STREET",1050.0,14200.0,13000.0,1100.0,14700.0,13400.0
-13562172.7193,4826686.9665,30,3,32,,BUT,,9.4,L,"CHICO, ON EIGHTH STREET AT PINE STREET",1350.0,20300.0,17200.0,1150.0,18100.0,15500.0
-13562064.9915,4826779.3655,31,3,32,,BUT,,9.46,L,"CHICO, ON EIGHTH STREET AT CYPRESS STREET",1400.0,17300.0,15900.0,1450.0,20300.0,17200.0
-13562788.6014,4826147.9243,32,3,32,,BUT,R,9.504,L,"CHICO, ON EIGHTH STREET AT BROADWAY",1150.0,16000.0,13900.0,1050.0,14200.0,13000.0
-13562683.5142,4826237.6352,33,3,32,,BUT,R,9.571,L,"CHICO, ON 8TH ST AT MAIN ST",2350.0,28100.0,25000.0,2350.0,28100.0,25000.0
-13560929.9301,4827777.6824,34,3,32,,BUT,,10.187,L,"CHICO, ON EIGHTH STREET AT FIR STREET",1320.0,14300.0,13100.0,2580.0,30800.0,27000.0
-13624645.0198,4951717.4706,35,2,44,,SHA,L,0.0,L,LEFT LANES VIA EUREKA WAY,,,,7700.0,78500.0,75900.0
-13624507.6196,4951759.6007,36,2,44,,SHA,L,0.072,L,"REDDING, EUREKA WAY/ PINE STREET",1450.0,12800.0,12800.0,1200.0,13600.0,13000.0
-13624440.4874,4951568.458,37,2,44,,SHA,L,0.169,L,"REDDING, PINE/SHASTA STREETS, JCT. RTE. 273 SOUTH",1200.0,13600.0,13000.0,1600.0,18400.0,17700.0
-13623779.0072,4951548.8799,38,2,44,,SHA,L,0.498,L,END INDEP ALIGN LT LNS,1850.0,21700.0,20800.0,,,
-13624645.0198,4951717.4706,39,2,44,,SHA,L,0.0,L,"REDDING, JCT. RTE. 5",,,,1450.0,12800.0,12800.0
-13518603.9804,4664573.5265,40,3,51,,SAC,,3.688,L,"SACRAMENTO, JCT. RTE. 160 WEST",10300.0,124000.0,109000.0,11000.0,122000.0,110000.0
-13035980.6309,3849090.4319,41,11,54,,SD,,0.0,L,WB OFF TO SB 5,,,,9300.0,112000.0,107000.0
-13035290.6742,3849383.7142,42,11,54,,SD,,0.406,L,"NATIONAL CITY, NATIONAL CITY BOULEVARD",4300.0,55000.0,52000.0,4700.0,61000.0,59000.0
-13034417.8996,3849754.9019,43,11,54,,SD,,0.904,L,"NATIONAL CITY, HIGHLAND AVENUE OVERCROSSING",4700.0,61000.0,59000.0,5100.0,66000.0,63000.0
-13032840.4628,3850057.611,44,11,54,,SD,,1.797,L,END LEFT ALIGN,5100.0,66000.0,63000.0,,,
-13122343.8389,3999863.7629,45,12,57,,ORA,,11.022,L,END INDEPENDENT ALIGN LEFT,11200.0,130000.0,126900.0,,,
-13117579.7441,4028736.1126,46,7,57,,LA,R,4.296,L,"DIAMOND BAR, BEGIN INDEPENDENT ALIGNMENT LEFT",6100.0,88000.0,80000.0,7200.0,105000.0,96000.0
-13117315.4095,4029079.5998,47,7,57,,LA,R,4.518,L,"DIAMOND BAR, SOUTH JCT. RTE. 60",7200.0,105000.0,96000.0,,,
-13116137.6146,4044010.4798,48,7,57,,LA,R,11.284,L,"GLENDORA, BEGIN INDEPENDENT ALIGNMENT LEFT",4500.0,65000.0,60000.0,5400.0,78000.0,71000.0
-13117190.0252,4045015.8914,49,7,57,,LA,R,12.212,L,"GLENDORA, END INDEPENDENT ALIGNMENT LEFT",5400.0,78000.0,71000.0,,,
-13280158.9462,4345759.4668,50,6,63,,TUL,L,8.916,L,MINERAL KING @ WILLIS,1400.0,14800.0,14000.0,1300.0,14000.0,13300.0
-13279557.4392,4345770.9353,51,6,63,,TUL,L,9.226,L,MINERAL KING @ COURT,1300.0,14000.0,13300.0,,,
-13279680.4169,4345696.9692,52,6,63,,TUL,,7.98,L,"VISALIA, EAST JCT 198 VIA LOCUST STREET",1700.0,15000.0,14200.0,1600.0,14200.0,13500.0
-13279686.1567,4346146.8893,53,6,63,,TUL,,8.2,L,"VISALIA, ON LOCUST STREET AT MAIN STREET",1250.0,11200.0,10600.0,1300.0,11700.0,11100.0
-13279689.574,4346521.6821,54,6,63,,TUL,,8.392,L,"VISALIA, ON LOCUST STREET AT SCHOOL STREET",1200.0,11000.0,10100.0,1200.0,10900.0,10000.0
-13279695.1265,4347094.9159,55,6,63,,TUL,,8.681,L,"VISALIA, LOCUST/PINE STREETS",1050.0,9700.0,8700.0,920.0,8800.0,7900.0
-13280053.3041,4347758.7497,56,6,63,,TUL,R,9.095,L,"VISALIA, ON NORTH WEST THIRD AVENUE AT HOUSTON AVENUE",910.0,8800.0,7900.0,1500.0,16100.0,15100.0
-13464046.6039,4856891.3243,57,2,70,,PLU,R,43.086,L,WB COUPLET VIA LAWRENCE,750.0,6800.0,14000.0,800.0,6850.0,6500.0
-13463690.9654,4856881.4368,58,2,70,,PLU,R,43.268,L,"QUINCY, ON LAWRENCE STREET AT RAILWAY AVENUE",450.0,4100.0,3850.0,510.0,4800.0,4450.0
-13114261.2138,4038143.8904,59,7,71,,LA,R,0.335,L,"POMONA, JCT. RTES. 10/57, SAN BERNARDINO/ORANGE FREEWAYS",,,,2900.0,52000.0,42000.0
-13114013.0585,4037877.3327,60,7,71,,LA,R,0.49,L,"POMONA, END INDEPENDENT ALIGNMENT",2900.0,52000.0,42000.0,,,
-13124387.5232,3986820.5162,61,12,73,,ORA,R,27.742,L,BEGIN LEFT ALIGN,,,,1300.0,17000.0,15400.0
-13124444.8644,3986856.2526,62,12,73,,ORA,R,27.777,L,JCT RTE 405 (LEFT SIDE),1300.0,17000.0,15400.0,1300.0,17000.0,15400.0
-13124901.2115,3986906.0548,63,12,73,,ORA,R,28.016,L,END LEFT ALIGN,1300.0,17000.0,15400.0,,,
-13043752.3092,3855011.9186,64,11,75,,SD,R,19.696,L,"CORONADO, JCT. RTE. 282",,,,3700.0,42500.0,39500.0
-13043616.9048,3854944.8822,65,11,75,,SD,R,19.789,L,"CORONADO, ON 3RD STREET AT C AVENUE",3050.0,34000.0,32500.0,3200.0,35500.0,34000.0
-13043492.0808,3854882.3593,66,11,75,,SD,R,19.85,L,"CORONADO, ON 3RD STREET AT B AVENUE",3200.0,35500.0,34000.0,3350.0,37000.0,35500.0
-13043290.5162,3854553.6761,67,11,75,,SD,R,20.035,L,"CORONADO, ON POMONA AVENUE AT 4TH STREET",4300.0,43000.0,38500.0,6600.0,73000.0,70000.0
-13625428.5802,4548424.0201,68,4,80,,SF,,5.044,L,WB OFF TO 5TH\HARRISON,8300.0,126000.0,122000.0,17000.0,264000.0,254000.0
-13624836.154,4548993.1968,69,4,80,,SF,,5.454,L,"SAN FRANCISCO, FOURTH/FIFTH STREETS, BAY BRIDGE CONNECTIONS",6200.0,95000.0,92000.0,8600.0,130000.0,126000.0
-13624613.3054,4549140.4149,70,4,80,,SF,,5.588,L,"FIRST/HARRISON STREETS, BAY BRIDGE CONNECTIONS",6200.0,95000.0,92000.0,8600.0,130000.0,126000.0
-13621754.8858,4552480.1668,71,4,80,,SF,,7.719,L,"TREASURE ISLAND; YERBA BUENA ISLAND",8600.0,130000.0,126000.0,8600.0,131000.0,127000.0
-13421187.2762,4768179.2213,72,3,80,,NEV,R,62.027,L,"CARYLE ROAD, INDIAN SPRINGS INTERCHANGE",1650.0,17300.0,15000.0,1650.0,17300.0,15000.0
-13420233.5121,4767038.4624,73,3,80,,NEV,R,62.747,L,NEVADA CO LINE,1650.0,15000.0,14400.0,,,
-13420233.5121,4767038.4624,74,3,80,,PLA,R,62.747,L,NEVADA CO LINE,,,,1650.0,17300.0,15000.0
-13402059.4059,4768390.8628,75,3,80,,NEV,R,2.545,L,SODA SPRING OC,4400.0,34000.0,28000.0,4400.0,34000.0,29500.0
-13397319.5766,4770368.701,76,3,80,,NEV,R,5.166,L,CASTLE PEAK UC,4400.0,34000.0,29500.0,4350.0,34000.0,26000.0
-13390612.3182,4769305.4018,77,3,80,,NEV,R,9.071,L,DONNOR LAKE,4300.0,32500.0,28000.0,4300.0,31000.0,28000.0
-13133084.0345,4009698.9646,78,12,91,,ORA,R,3.879,L,"FULLERTON, MAGNOLIA BOULEVARD",11900.0,166000.0,158700.0,8400.0,120000.0,113900.0
-13107324.0251,4011449.14,79,12,91,,ORA,R,14.431,L,WEIR CANYON ROAD,17900.0,289000.0,258600.0,17000.0,270000.0,258600.0
-13100856.7158,4011662.1411,80,12,91,,ORA,R,17.973,L,COAL CANYON ROAD LEFT,16100.0,256000.0,246100.0,9200.0,256000.0,246100.0
-13177737.763,4049400.7662,81,7,101,,LA,,11.747,L,"LOS ANGELES, JCT. RTES. 134/170",7900.0,121000.0,111000.0,9100.0,140000.0,128000.0
-13187995.4387,4050331.4148,82,7,101,,LA,,17.17,L,"LOS ANGELES, JCT. RTE. 405",10000.0,153000.0,140000.0,10600.0,163000.0,149000.0
-13484717.1344,4328733.199,83,5,101,,MON,R,41.048,L,BEGIN LEFT ALIGN,2100.0,18900.0,16200.0,1050.0,9400.0,8100.0
-13484951.9265,4328735.7173,84,5,101,,MON,R,41.166,L,BROADWAY UC,1050.0,9400.0,8100.0,1700.0,15000.0,13000.0
-13486080.7139,4327816.413,85,5,101,,MON,R,41.921,L,"JOLON ROAD, NORTH JUNCTION",1700.0,15000.0,13000.0,1900.0,15000.0,13500.0
-13539240.5846,4419481.4252,86,5,101,,SBT,,0.312,L,BEGIN LEFT ALIGN,6500.0,77000.0,70000.0,3150.0,37500.0,34000.0
-13534204.7451,4419903.183,87,5,101,,SBT,,3.049,L,N JCT. RTE. 156,3150.0,37500.0,34000.0,2600.0,31000.0,28000.0
-13626097.6644,4546444.2061,88,4,101,,SF,R,4.241,L,"SAN FRANCISCO, JCT. RTE. 80",15500.0,216000.0,298000.0,6100.0,89000.0,191000.0
-13823112.2546,4982991.0243,89,1,101,,HUM,,77.967,L,"EUREKA, ON BROADWAY AT FIFTH STREET",2500.0,29000.0,26400.0,1900.0,13000.0,12500.0
-13823104.6246,4983103.897,90,1,101,,HUM,,78.026,L,"EUREKA, ON FOURTH STREET AT BROADWAY",1900.0,13000.0,12500.0,3500.0,25200.0,24000.0
-13821999.2785,4983316.6418,91,1,101,,HUM,,78.56,L,"EUREKA, ON FOURTH STREET AT G STREET",1900.0,13500.0,12900.0,2000.0,14700.0,14100.0
-13821755.0406,4983362.0507,92,1,101,,HUM,,78.68,L,"EUREKA, ON FOURTH STREET AT I STREET",2000.0,16600.0,15900.0,2000.0,15500.0,14800.0
-13820961.4886,4983512.6985,93,1,101,,HUM,,79.06,L,"EUREKA, ON FOURTH STREET AT MYRTLE AVENUE",3600.0,37500.0,35660.0,1900.0,22500.0,20000.0
-13820722.2931,4983580.7603,94,1,101,,HUM,,79.168,L,"EUREKA, ON FOURTH STREET AT JCT. RTE. 255 NORTH",1900.0,22500.0,20000.0,2100.0,20400.0,19000.0
-13819875.4861,4983575.3695,95,1,101,,HUM,,79.574,L,"EUREKA, BEGIN DIVIDED HIGHWAY FACILITY",2100.0,20400.0,19000.0,3400.0,36500.0,35000.0
-13824942.6687,5124021.1249,96,1,101,,DN,,26.183,L,"CRESCENT CITY, ON L ST AT FRONT ST",3300.0,25500.0,30700.0,1890.0,21100.0,16900.0
-13825105.5495,5124019.5337,97,1,101,,DN,,26.268,L,"CRESCENT CITY, ON L STREET AT FRONT STREET",990.0,8800.0,7100.0,940.0,9500.0,7500.0
-13825320.5723,5124322.4121,98,1,101,,DN,,26.437,L,"CRESCENT CITY, ON L STREET AT 4TH STREET",990.0,9500.0,7500.0,990.0,9500.0,7700.0
-13825670.8746,5124818.239,99,1,101,,DN,,26.72,L,"CRESCENT CITY, ON L STREET AT 9TH STREET",990.0,9500.0,7700.0,990.0,9300.0,7500.0
-13825648.5394,5125163.8857,100,1,101,,DN,L,26.855,L,"CRESCENT CITY, END OF L ST Couplet (Milepost Equation)",990.0,9300.0,7500.0,,,
-13470054.0475,4528933.5471,101,10,108,,STA,R,22.439,L,JCT ST 132 AT 9TH AND L,,,,460.0,5600.0,4450.0
-13469454.2886,4529501.8238,102,10,108,,STA,R,22.836,L,"MODESTO, L STREET AT NEEDHAM AVENUE",460.0,5600.0,4450.0,1400.0,18200.0,15600.0
-13161542.0565,4038938.9645,103,7,110,,LA,,25.086,L,"LOS ANGELES, SOLANO AVENUE",5700.0,93000.0,87000.0,5700.0,92000.0,86000.0
-13555468.4532,4653103.4988,104,4,113,,SOL,R,21.653,L,EAST JCT RTE 80 SB,1950.0,21500.0,20400.0,4050.0,42500.0,40500.0
-13555260.2496,4653750.9204,105,4,113,,SOL,R,21.989,L,END INDEP ALIGN,1950.0,21500.0,20400.0,4050.0,42500.0,40500.0
-13672798.1279,4636531.4213,106,4,116,,SON,R,26.65,L,"SEBASTOPOL, ON MAIN STREET",1750.0,18900.0,18500.0,1250.0,13500.0,12800.0
-13672579.8467,4636424.4701,107,4,116,,SON,R,26.82,L,"SEBASTOPOL, JCT. RTE. 12",1250.0,13700.0,13000.0,1250.0,14000.0,13200.0
-13672217.2901,4635505.7074,108,4,116,,SON,R,27.32,L,"SEBASTOPOL, PALM AVE",1250.0,14000.0,13200.0,,,
-13167916.3263,4049691.0284,109,7,134,,LA,,5.076,L,"LOS ANGELES, JCT. RTE. 5",7400.0,106000.0,96000.0,8100.0,115000.0,105000.0
-13224303.6517,4131112.6409,110,7,138,,LA,,0.0,L,BEGIN INDEPENDENT ALIGNMENT LEFT LANES,,,,170.0,2250.0,2100.0
-13222394.0768,4133051.9222,111,7,138,,LA,,1.392,L,END INDEPENDENT ALIGNMENT,170.0,2250.0,2100.0,,,
-13365074.3043,4400242.5345,112,6,145,,FRE,,34.15,L,BEG SEP ROADWAY WEST A ST LT,320.0,3900.0,3750.0,320.0,3900.0,3750.0
-13365077.8969,4400506.8608,113,6,145,,FRE,,34.29,L,END SEP ROADWAY C ST LT,320.0,3900.0,3750.0,,,
-13622497.1587,4965433.1647,114,2,151,,SHA,R,5.62,L,"ASHBY RD, BEGIN LT COUP",590.0,6500.0,11250.0,1280.0,12500.0,8950.0
-13622497.1587,4965433.1647,115,2,151,,SHA,R,5.62,L,BEGIN COUPLET AT ASHBY ROAD,,,,630.0,5800.0,4150.0
-13621843.95,4965376.8821,116,2,151,,SHA,R,5.93,L,On Front Street at Hardenbrook Avenue,630.0,5800.0,4150.0,400.0,5900.0,4200.0
-13621711.4329,4965341.444,117,2,151,,SHA,R,5.993,L,Front Street/Shasta Dam Boulevard,400.0,5900.0,4200.0,1050.0,8700.0,8700.0
-13041708.7247,3858180.0879,118,11,163,,SD,,0.598,L,SAN DIEGO ON 10TH AVENUE  AT ASH STREET,,,,1700.0,17100.0,13800.0
-13041701.667,3858237.1652,119,11,163,,SD,,0.628,L,"SAN DIEGO, ON 10TH AVENUE, NORTH OF ASH STREET",2750.0,16800.0,13800.0,1900.0,19900.0,18900.0
-13248489.1968,4215764.0781,120,6,178,,KER,R,1.821,L,"BAKERSFIELD, NEAR O STREET",2400.0,27500.0,25000.0,,,
-13293442.9838,4345778.3869,121,6,198,,TUL,R,3.257,L,BEG INDEP ALIGN LT,2950.0,33500.0,31500.0,1500.0,17000.0,15900.0
-13292577.151,4345984.5832,122,6,198,,TUL,R,3.711,L,JCT. RTE. 99,1500.0,17000.0,15900.0,5800.0,65000.0,62000.0
-13291532.9763,4345755.1884,123,6,198,,TUL,R,4.248,L,END INDEP ALIGN,1500.0,17000.0,15900.0,,,
-13820151.2556,5131572.0171,124,1,199,,DN,T,0.506,L,JCT. RTE. 101,,,,900.0,6800.0,5400.0
-13572139.717,4498471.9686,125,4,237,,SCL,R,9.125,L,McCARTHY BOULEVARD,4600.0,59000.0,57000.0,2150.0,27500.0,26500.0
-13611779.9278,4548889.2241,126,4,260,,ALA,R,0.838,L,BEGIN LEFT ALIGN,4250.0,65000.0,62000.0,1950.0,33000.0,32000.0
-13611979.6796,4549393.206,127,4,260,,ALA,R,1.124,L,"ALAMEDA, WEBSTER TUBE",,,,1950.0,33000.0,32000.0
-13611322.2321,4550869.0141,128,4,260,,ALA,R,1.924,L,"OAKLAND, JCT RTE 880, END LEFT ALIGN",4250.0,65000.0,62000.0,,,
-13624090.818,4949937.9065,129,2,273,,SHA,,15.921,L,"REDDING, ON MARKET ST., LT",1650.0,16500.0,20600.0,1900.0,18100.0,17000.0
-13624114.6859,4950055.5409,130,2,273,,SHA,,15.978,L,"REDDING, ON MARKET ST. AT CYPRESS ST., LT",800.0,7900.0,7300.0,800.0,7900.0,7300.0
-13624275.5289,4950562.8489,131,2,273,,SHA,R,16.255,L,"REDDING, MARKET/GOLD STREETS, LT",800.0,7100.0,6600.0,850.0,7500.0,6900.0
-13624421.882,4950517.6928,132,2,273,,SHA,R,16.326,L,"REDDING, GOLD/ CALIFORNIA STREETS, LT",850.0,7500.0,6900.0,860.0,7500.0,7000.0
-13624491.7936,4950742.7814,133,2,273,,SHA,R,16.44,L,"REDDING, ON CALIFORNIA ST. AT SACRAMENTO ST., LT",800.0,7500.0,6500.0,630.0,6700.0,6200.0
-13624539.7322,4950890.0932,134,2,273,,SHA,R,16.51,L,"REDDING, ON CALIFORNIA ST. AT PLACER ST., LT",630.0,6700.0,6200.0,590.0,6100.0,6000.0
-13624678.0516,4951325.2447,135,2,273,,SHA,R,16.73,L,"REDDING, CALIFORNIA/ TEHAMA STREETS, LT",1380.0,14900.0,9450.0,410.0,4650.0,3950.0
-13624539.0388,4951374.1561,136,2,273,,SHA,R,16.801,L,"REDDING, TEHAMA/MARKET STREETS, JCT RTE 44 (EB LANES), LT",410.0,4650.0,3950.0,,,
-13633519.7986,4537257.4567,137,4,280,,SM,M,26.877,L,SB ON FR SB RTE 1,4450.0,54000.0,53000.0,7400.0,89000.0,88000.0
-13633494.4395,4537831.2109,138,4,280,,SM,M,27.165,L,"DALY CITY, JCT. RTE. 1 NORTH",7400.0,89000.0,88000.0,4700.0,56000.0,55000.0
-13633176.744,4538296.7506,139,4,280,,SM,M,27.433,L,"END INDEP ALIGN, SM/SF CO LINE",4700.0,56000.0,55000.0,,,
-13626877.075,4541832.219,140,4,280,,SF,R,4.009,L,BEGIN LEFT ALIGN,14100.0,177000.0,174000.0,6700.0,85000.0,84000.0
-13626269.0813,4542103.1816,141,4,280,,SF,R,4.341,L,JCT RTE 101,6700.0,85000.0,84000.0,6000.0,76000.0,75000.0
-13624655.3508,4544172.8748,142,4,280,,SF,R,5.62,L,"SAN FRANCISCO, ARMY STREET",5000.0,64000.0,63000.0,3800.0,47000.0,46000.0
-13624627.8298,4544863.2461,143,4,280,,SF,R,5.951,L,END INDEP ALIGN,3800.0,47000.0,46000.0,8100.0,102000.0,100000.0
-13043844.6861,3854820.7076,144,11,282,,SD,,0.0,L,JCT RTE 75 AT ORANGE AVE,,,,2200.0,17500.0,15700.0
-13044102.7613,3854950.0246,145,11,282,,SD,,0.15,L,4TH ST. AT E AVENUE,2000.0,17200.0,14800.0,1700.0,15300.0,15000.0
-13044474.7064,3855135.999,146,11,282,,SD,,0.366,L,4TH ST. AT H AVENUE,1700.0,15300.0,15000.0,1600.0,14300.0,14000.0
-13044717.9859,3855256.6887,147,11,282,,SD,,0.51,L,4TH ST. AT J AVENUE,1600.0,14300.0,14000.0,1550.0,13900.0,13400.0
-13044837.7181,3855316.6771,148,11,282,,SD,,0.581,L,"4TH ST.  AT ALAMEDA BLVD, END OF EASTBOUND COUPLET LANES",1450.0,13100.0,12700.0,,,
-13200126.6437,4503835.1829,149,9,395,,MNO,R,0.0,L,INYO/MONO CNTY LINE,,,,590.0,5000.0,3700.0
-13358468.3126,4818574.6463,150,3,395,,SIE,R,0.0,L,SIERRA/LASSEN COUNTY LINE,1500.0,16400.0,12600.0,2050.0,23300.0,17400.0
-13362262.9968,4823696.6534,151,3,395,,SIE,R,3.124,L,SIERRA/LASSEN COUNTY LINE,1450.0,13800.0,9200.0,,,
-13531633.5633,4542520.0083,152,10,580,,SJ,,15.308,L,BEG INDEP ALIGN,,,,2550.0,28000.0,25500.0
-13531678.373,4542566.0051,153,10,580,,SJ,,15.34,L,SAN JOAQUIN/ALAMEDA COUNTY LINE,3700.0,48000.0,42000.0,,,
-13532312.2125,4542913.2629,154,4,580,,ALA,,0.422,L,JCT RTE 205/239 UNC,1850.0,23400.0,22000.0,1850.0,23400.0,22000.0
-13543185.1566,4539843.4524,155,4,580,,ALA,R,5.933,L,NORTH FLYNN ROAD,9400.0,115000.0,101000.0,9400.0,115000.0,101000.0
-13535115.1839,4542749.6737,156,4,580,,ALA,R,1.622,L,BEGIN LEFT ALIGN,10000.0,115000.0,10600.0,9400.0,115000.0,101000.0
-13612977.1697,4554937.194,157,4,580,,ALA,,46.262,L,BEGIN LEFT ALIGN,10400.0,143000.0,136000.0,10200.0,129000.0,128000.0
-13614325.5966,4554891.6446,158,4,580,,ALA,,46.946,L,SOUTH JCT 80 NEAR BAY BRIDGE,10200.0,129000.0,250000.0,10200.0,129000.0,128000.0
-13614773.415,4554786.257,159,4,580,,ALA,,47.168,L,END INDEP ALIGN,10200.0,129000.0,128000.0,10200.0,129000.0,128000.0
-13614417.7062,4553336.5517,160,4,880,S,ALA,,0.0,L,BEGIN LEFT LANES. PORT OF OAKLAND CONN,,,,7400.0,82000.0,80000.0
-13616370.7266,4554467.3614,161,4,880,S,ALA,,1.463,L,END OF LEFT LANES,7400.0,82000.0,80000.0,,,
-13614661.4452,4553091.9565,162,4,880,,ALA,R,33.92,L,BEG INDEP ALIGNMENT RT,3500.0,52000.0,51000.0,3600.0,52000.0,51000.0
-13614286.1808,4553465.1975,163,4,880,,ALA,R,34.18,L,ROUTE 880 CONNECTION TO SAN FRANCISCO-OAKLAND BAY BRIDGE,3600.0,52000.0,51000.0,2150.0,32500.0,31500.0
-13613583.6691,4554265.2618,164,4,880,,ALA,R,34.7,L,WEST GRAND AVENUE,2150.0,32500.0,31500.0,3650.0,53000.0,52000.0
-13613700.931,4555644.448,165,4,880,,ALA,R,35.4,L,WEST JCT RTE 80,3400.0,50000.0,49000.0,,,
-13032965.5769,3837590.4414,166,11,905,,SD,,2.96,L,BEG WB INDEP ALIGN,,,,970.0,10500.0,10000.0
-13032572.8978,3837758.8299,167,11,905,,SD,,3.19,L,"SAN DIEGO, JCT. RTE. 5",970.0,10500.0,10000.0,2750.0,28000.0,26000.0
-13031972.3066,3838063.8095,168,11,905,,SD,,3.55,L,END WB INDEPENDENT ALIGMENT,3050.0,31000.0,29000.0,,,
-13049345.6856,3882118.9603,169,11,5,,SD,R,30.426,R,"SAN DIEGO, SORRENTO VALLEY ROAD",5500.0,66000.0,62000.0,5300.0,65000.0,60000.0
